"date" "word" "n" "year_total" "word_total"
1970-09-15 "israel" 165 110001 10545
1970-09-15 "issues" 50 110001 11465
1970-09-15 "justice" 227 110001 10896
1970-09-15 "law" 243 110001 13993
1970-09-15 "major" 104 110001 10592
1970-09-15 "means" 219 110001 11658
1970-09-15 "measures" 179 110001 12398
1970-09-15 "middle" 204 110001 12987
1970-09-15 "military" 142 110001 12335
1970-09-15 "national" 282 110001 23575
1970-09-15 "nations" 1997 110001 124786
1970-09-15 "negotiations" 104 110001 13235
1970-09-15 "nuclear" 204 110001 22934
1970-09-15 "operation" 67 110001 15661
1970-09-15 "organization" 741 110001 35640
1970-09-15 "palestinian" 81 110001 10259
1970-09-15 "parties" 112 110001 11257
1970-09-15 "past" 148 110001 10918
1970-09-15 "peace" 1019 110001 77842
1970-09-15 "peaceful" 224 110001 15088
1970-09-15 "people" 563 110001 54354
1970-09-15 "peoples" 566 110001 25181
1970-09-15 "policy" 228 110001 13567
1970-09-15 "political" 311 110001 33692
1970-09-15 "poverty" 42 110001 10387
1970-09-15 "powers" 283 110001 10041
1970-09-15 "president" 263 110001 18758
1970-09-15 "principles" 312 110001 16368
1970-09-15 "process" 98 110001 19495
1970-09-15 "progress" 293 110001 17577
1970-09-15 "question" 187 110001 11259
1970-09-15 "recent" 112 110001 11188
1970-09-15 "regard" 118 110001 11452
1970-09-15 "region" 83 110001 21386
1970-09-15 "regional" 110 110001 13213
1970-09-15 "relations" 195 110001 18910
1970-09-15 "republic" 315 110001 23316
1970-09-15 "resolution" 201 110001 14938
1970-09-15 "resolutions" 107 110001 10068
1970-09-15 "resources" 173 110001 15034
1970-09-15 "respect" 180 110001 17360
1970-09-15 "responsibility" 114 110001 10002
1970-09-15 "rights" 335 110001 33678
1970-09-15 "role" 115 110001 15396
1970-09-15 "secretary" 66 110001 18224
1970-09-15 "security" 594 110001 58620
1970-09-15 "session" 302 110001 29355
1970-09-15 "settlement" 158 110001 10468
1970-09-15 "situation" 230 110001 22626
1970-09-15 "social" 257 110001 21320
1970-09-15 "solution" 201 110001 14990
1970-09-15 "south" 246 110001 26854
1970-09-15 "special" 117 110001 12822
1970-09-15 "stability" 35 110001 11323
1970-09-15 "support" 210 110001 30258
1970-09-15 "system" 122 110001 16129
1970-09-15 "terrorism" 7 110001 11726
1970-09-15 "time" 371 110001 25425
1970-09-15 "trade" 104 110001 12834
1970-09-15 "union" 85 110001 10537
1970-09-15 "united" 1996 110001 120949
1970-09-15 "view" 119 110001 11343
1970-09-15 "war" 363 110001 21426
1970-09-15 "weapons" 208 110001 16939
1970-09-15 "world" 1073 110001 89132
1971-09-15 "achieve" 178 183008 10213
1971-09-15 "action" 262 183008 16503
1971-09-15 "africa" 704 183008 29980
1971-09-15 "african" 379 183008 18219
1971-09-15 "agreement" 327 183008 12320
1971-09-15 "arab" 346 183008 11247
1971-09-15 "arms" 223 183008 11210
1971-09-15 "assembly" 977 183008 39932
1971-09-15 "assistance" 191 183008 11561
1971-09-15 "based" 187 183008 10704
1971-09-15 "challenges" 21 183008 10170
1971-09-15 "change" 94 183008 11309
1971-09-15 "charter" 484 183008 16097
1971-09-15 "commitment" 52 183008 10328
1971-09-15 "common" 223 183008 10870
1971-09-15 "community" 523 183008 37936
1971-09-15 "conference" 413 183008 21701
1971-09-15 "conflict" 203 183008 16727
1971-09-15 "conflicts" 137 183008 11456
1971-09-15 "continue" 360 183008 19221
1971-09-15 "cooperation" 94 183008 17552
1971-09-15 "council" 528 183008 29218
1971-09-15 "countries" 1657 183008 85811
1971-09-15 "country" 676 183008 39541
1971-09-15 "crisis" 154 183008 12500
1971-09-15 "delegation" 445 183008 12971
1971-09-15 "democratic" 165 183008 14000
1971-09-15 "determination" 195 183008 10119
1971-09-15 "developed" 266 183008 12428
1971-09-15 "developing" 514 183008 26012
1971-09-15 "development" 1075 183008 63063
1971-09-15 "disarmament" 373 183008 13285
1971-09-15 "east" 578 183008 18712
1971-09-15 "economic" 824 183008 55155
1971-09-15 "effective" 225 183008 11485
1971-09-15 "efforts" 511 183008 35195
1971-09-15 "ensure" 211 183008 11643
1971-09-15 "financial" 91 183008 10368
1971-09-15 "force" 215 183008 10217
1971-09-15 "forces" 238 183008 10811
1971-09-15 "foreign" 315 183008 13288
1971-09-15 "free" 150 183008 10472
1971-09-15 "freedom" 221 183008 10391
1971-09-15 "future" 326 183008 15552
1971-09-15 "global" 64 183008 21899
1971-09-15 "government" 1026 183008 36814
1971-09-15 "hope" 456 183008 19418
1971-09-15 "human" 468 183008 36657
1971-09-15 "implementation" 158 183008 10777
1971-09-15 "including" 111 183008 10842
1971-09-15 "independence" 300 183008 14069
1971-09-15 "international" 2003 183008 117236
1971-09-15 "israel" 383 183008 10545
1971-09-15 "issues" 99 183008 11465
1971-09-15 "justice" 320 183008 10896
1971-09-15 "law" 245 183008 13993
1971-09-15 "major" 192 183008 10592
1971-09-15 "means" 250 183008 11658
1971-09-15 "measures" 297 183008 12398
1971-09-15 "middle" 345 183008 12987
1971-09-15 "military" 277 183008 12335
1971-09-15 "national" 412 183008 23575
1971-09-15 "nations" 2910 183008 124786
1971-09-15 "negotiations" 162 183008 13235
1971-09-15 "nuclear" 296 183008 22934
1971-09-15 "operation" 497 183008 15661
1971-09-15 "organization" 1041 183008 35640
1971-09-15 "palestinian" 72 183008 10259
1971-09-15 "parties" 161 183008 11257
1971-09-15 "past" 224 183008 10918
1971-09-15 "peace" 1504 183008 77842
1971-09-15 "peaceful" 282 183008 15088
1971-09-15 "people" 877 183008 54354
1971-09-15 "peoples" 812 183008 25181
1971-09-15 "policy" 434 183008 13567
1971-09-15 "political" 624 183008 33692
1971-09-15 "poverty" 47 183008 10387
1971-09-15 "powers" 518 183008 10041
1971-09-15 "president" 405 183008 18758
1971-09-15 "principles" 446 183008 16368
1971-09-15 "process" 143 183008 19495
1971-09-15 "progress" 437 183008 17577
1971-09-15 "question" 348 183008 11259
1971-09-15 "recent" 214 183008 11188
1971-09-15 "regard" 142 183008 11452
1971-09-15 "region" 152 183008 21386
1971-09-15 "regional" 120 183008 13213
1971-09-15 "relations" 507 183008 18910
1971-09-15 "republic" 957 183008 23316
1971-09-15 "resolution" 568 183008 14938
1971-09-15 "resolutions" 205 183008 10068
1971-09-15 "resources" 288 183008 15034
1971-09-15 "respect" 298 183008 17360
1971-09-15 "responsibility" 179 183008 10002
1971-09-15 "rights" 438 183008 33678
1971-09-15 "role" 199 183008 15396
1971-09-15 "secretary" 324 183008 18224
1971-09-15 "security" 1045 183008 58620
1971-09-15 "session" 642 183008 29355
1971-09-15 "settlement" 225 183008 10468
1971-09-15 "situation" 537 183008 22626
1971-09-15 "social" 387 183008 21320
1971-09-15 "solution" 383 183008 14990
1971-09-15 "south" 619 183008 26854
1971-09-15 "special" 202 183008 12822
1971-09-15 "stability" 82 183008 11323
1971-09-15 "support" 382 183008 30258
1971-09-15 "system" 250 183008 16129
1971-09-15 "terrorism" 9 183008 11726
1971-09-15 "time" 623 183008 25425
1971-09-15 "trade" 331 183008 12834
1971-09-15 "union" 183 183008 10537
1971-09-15 "united" 2962 183008 120949
1971-09-15 "view" 253 183008 11343
1971-09-15 "war" 500 183008 21426
1971-09-15 "weapons" 254 183008 16939
1971-09-15 "world" 1854 183008 89132
1972-09-15 "achieve" 173 196138 10213
1972-09-15 "action" 295 196138 16503
1972-09-15 "africa" 555 196138 29980
1972-09-15 "african" 287 196138 18219
1972-09-15 "agreement" 330 196138 12320
1972-09-15 "arab" 347 196138 11247
1972-09-15 "arms" 204 196138 11210
1972-09-15 "assembly" 919 196138 39932
1972-09-15 "assistance" 242 196138 11561
1972-09-15 "based" 179 196138 10704
1972-09-15 "challenges" 13 196138 10170
1972-09-15 "change" 124 196138 11309
1972-09-15 "charter" 602 196138 16097
1972-09-15 "commitment" 44 196138 10328
1972-09-15 "common" 251 196138 10870
1972-09-15 "community" 541 196138 37936
1972-09-15 "conference" 663 196138 21701
1972-09-15 "conflict" 226 196138 16727
1972-09-15 "conflicts" 144 196138 11456
1972-09-15 "continue" 341 196138 19221
1972-09-15 "cooperation" 41 196138 17552
1972-09-15 "council" 431 196138 29218
1972-09-15 "countries" 2012 196138 85811
1972-09-15 "country" 717 196138 39541
1972-09-15 "crisis" 87 196138 12500
1972-09-15 "delegation" 515 196138 12971
1972-09-15 "democratic" 149 196138 14000
1972-09-15 "determination" 268 196138 10119
1972-09-15 "developed" 304 196138 12428
1972-09-15 "developing" 589 196138 26012
1972-09-15 "development" 969 196138 63063
1972-09-15 "disarmament" 384 196138 13285
1972-09-15 "east" 431 196138 18712
1972-09-15 "economic" 855 196138 55155
1972-09-15 "effective" 252 196138 11485
1972-09-15 "efforts" 510 196138 35195
1972-09-15 "ensure" 176 196138 11643
1972-09-15 "financial" 107 196138 10368
1972-09-15 "force" 287 196138 10217
1972-09-15 "forces" 241 196138 10811
1972-09-15 "foreign" 454 196138 13288
1972-09-15 "free" 168 196138 10472
1972-09-15 "freedom" 292 196138 10391
1972-09-15 "future" 271 196138 15552
1972-09-15 "global" 74 196138 21899
1972-09-15 "government" 988 196138 36814
1972-09-15 "hope" 491 196138 19418
1972-09-15 "human" 600 196138 36657
1972-09-15 "implementation" 129 196138 10777
1972-09-15 "including" 122 196138 10842
1972-09-15 "independence" 343 196138 14069
1972-09-15 "international" 2300 196138 117236
1972-09-15 "israel" 328 196138 10545
1972-09-15 "issues" 122 196138 11465
1972-09-15 "justice" 294 196138 10896
1972-09-15 "law" 324 196138 13993
1972-09-15 "major" 187 196138 10592
1972-09-15 "means" 337 196138 11658
1972-09-15 "measures" 291 196138 12398
1972-09-15 "middle" 291 196138 12987
1972-09-15 "military" 222 196138 12335
1972-09-15 "national" 524 196138 23575
1972-09-15 "nations" 2800 196138 124786
1972-09-15 "negotiations" 197 196138 13235
1972-09-15 "nuclear" 424 196138 22934
1972-09-15 "operation" 603 196138 15661
1972-09-15 "organization" 890 196138 35640
1972-09-15 "palestinian" 157 196138 10259
1972-09-15 "parties" 177 196138 11257
1972-09-15 "past" 243 196138 10918
1972-09-15 "peace" 1488 196138 77842
1972-09-15 "peaceful" 379 196138 15088
1972-09-15 "people" 1110 196138 54354
1972-09-15 "peoples" 884 196138 25181
1972-09-15 "policy" 373 196138 13567
1972-09-15 "political" 637 196138 33692
1972-09-15 "poverty" 85 196138 10387
1972-09-15 "powers" 644 196138 10041
1972-09-15 "president" 407 196138 18758
1972-09-15 "principles" 420 196138 16368
1972-09-15 "process" 183 196138 19495
1972-09-15 "progress" 433 196138 17577
1972-09-15 "question" 369 196138 11259
1972-09-15 "recent" 210 196138 11188
1972-09-15 "regard" 210 196138 11452
1972-09-15 "region" 151 196138 21386
1972-09-15 "regional" 124 196138 13213
1972-09-15 "relations" 652 196138 18910
1972-09-15 "republic" 621 196138 23316
1972-09-15 "resolution" 437 196138 14938
1972-09-15 "resolutions" 240 196138 10068
1972-09-15 "resources" 335 196138 15034
1972-09-15 "respect" 286 196138 17360
1972-09-15 "responsibility" 199 196138 10002
1972-09-15 "rights" 430 196138 33678
1972-09-15 "role" 202 196138 15396
1972-09-15 "secretary" 449 196138 18224
1972-09-15 "security" 990 196138 58620
1972-09-15 "session" 689 196138 29355
1972-09-15 "settlement" 222 196138 10468
1972-09-15 "situation" 432 196138 22626
1972-09-15 "social" 391 196138 21320
1972-09-15 "solution" 355 196138 14990
1972-09-15 "south" 488 196138 26854
1972-09-15 "special" 209 196138 12822
1972-09-15 "stability" 84 196138 11323
1972-09-15 "support" 483 196138 30258
1972-09-15 "system" 293 196138 16129
1972-09-15 "terrorism" 382 196138 11726
1972-09-15 "time" 610 196138 25425
1972-09-15 "trade" 283 196138 12834
1972-09-15 "union" 262 196138 10537
1972-09-15 "united" 2689 196138 120949
1972-09-15 "view" 270 196138 11343
1972-09-15 "war" 592 196138 21426
1972-09-15 "weapons" 368 196138 16939
1972-09-15 "world" 2077 196138 89132
1973-09-15 "achieve" 183 195390 10213
1973-09-15 "action" 272 195390 16503
1973-09-15 "africa" 684 195390 29980
1973-09-15 "african" 396 195390 18219
1973-09-15 "agreement" 339 195390 12320
1973-09-15 "arab" 303 195390 11247
1973-09-15 "arms" 173 195390 11210
1973-09-15 "assembly" 869 195390 39932
1973-09-15 "assistance" 258 195390 11561
1973-09-15 "based" 185 195390 10704
1973-09-15 "challenges" 21 195390 10170
1973-09-15 "change" 157 195390 11309
1973-09-15 "charter" 476 195390 16097
1973-09-15 "commitment" 66 195390 10328
1973-09-15 "common" 241 195390 10870
1973-09-15 "community" 483 195390 37936
1973-09-15 "conference" 685 195390 21701
1973-09-15 "conflict" 215 195390 16727
1973-09-15 "conflicts" 128 195390 11456
1973-09-15 "continue" 352 195390 19221
1973-09-15 "cooperation" 77 195390 17552
1973-09-15 "council" 429 195390 29218
1973-09-15 "countries" 2106 195390 85811
1973-09-15 "country" 753 195390 39541
1973-09-15 "crisis" 93 195390 12500
1973-09-15 "delegation" 408 195390 12971
1973-09-15 "democratic" 310 195390 14000
1973-09-15 "determination" 235 195390 10119
1973-09-15 "developed" 296 195390 12428
1973-09-15 "developing" 557 195390 26012
1973-09-15 "development" 921 195390 63063
1973-09-15 "disarmament" 340 195390 13285
1973-09-15 "east" 503 195390 18712
1973-09-15 "economic" 1038 195390 55155
1973-09-15 "effective" 246 195390 11485
1973-09-15 "efforts" 518 195390 35195
1973-09-15 "ensure" 194 195390 11643
1973-09-15 "financial" 94 195390 10368
1973-09-15 "force" 295 195390 10217
1973-09-15 "forces" 347 195390 10811
1973-09-15 "foreign" 381 195390 13288
1973-09-15 "free" 160 195390 10472
1973-09-15 "freedom" 274 195390 10391
1973-09-15 "future" 272 195390 15552
1973-09-15 "global" 102 195390 21899
1973-09-15 "government" 1001 195390 36814
1973-09-15 "hope" 425 195390 19418
1973-09-15 "human" 569 195390 36657
1973-09-15 "implementation" 137 195390 10777
1973-09-15 "including" 105 195390 10842
1973-09-15 "independence" 379 195390 14069
1973-09-15 "international" 2216 195390 117236
1973-09-15 "israel" 366 195390 10545
1973-09-15 "issues" 121 195390 11465
1973-09-15 "justice" 306 195390 10896
1973-09-15 "law" 333 195390 13993
1973-09-15 "major" 203 195390 10592
1973-09-15 "means" 288 195390 11658
1973-09-15 "measures" 254 195390 12398
1973-09-15 "middle" 376 195390 12987
1973-09-15 "military" 314 195390 12335
1973-09-15 "national" 555 195390 23575
1973-09-15 "nations" 2664 195390 124786
1973-09-15 "negotiations" 222 195390 13235
1973-09-15 "nuclear" 381 195390 22934
1973-09-15 "operation" 727 195390 15661
1973-09-15 "organization" 909 195390 35640
1973-09-15 "palestinian" 93 195390 10259
1973-09-15 "parties" 173 195390 11257
1973-09-15 "past" 205 195390 10918
1973-09-15 "peace" 1688 195390 77842
1973-09-15 "peaceful" 353 195390 15088
1973-09-15 "people" 1106 195390 54354
1973-09-15 "peoples" 858 195390 25181
1973-09-15 "policy" 452 195390 13567
1973-09-15 "political" 640 195390 33692
1973-09-15 "poverty" 81 195390 10387
1973-09-15 "powers" 561 195390 10041
1973-09-15 "president" 433 195390 18758
1973-09-15 "principles" 401 195390 16368
1973-09-15 "process" 213 195390 19495
1973-09-15 "progress" 414 195390 17577
1973-09-15 "question" 308 195390 11259
1973-09-15 "recent" 205 195390 11188
1973-09-15 "regard" 175 195390 11452
1973-09-15 "region" 254 195390 21386
1973-09-15 "regional" 99 195390 13213
1973-09-15 "relations" 682 195390 18910
1973-09-15 "republic" 753 195390 23316
1973-09-15 "resolution" 388 195390 14938
1973-09-15 "resolutions" 204 195390 10068
1973-09-15 "resources" 388 195390 15034
1973-09-15 "respect" 322 195390 17360
1973-09-15 "responsibility" 159 195390 10002
1973-09-15 "rights" 553 195390 33678
1973-09-15 "role" 190 195390 15396
1973-09-15 "secretary" 272 195390 18224
1973-09-15 "security" 1040 195390 58620
1973-09-15 "session" 483 195390 29355
1973-09-15 "settlement" 185 195390 10468
1973-09-15 "situation" 598 195390 22626
1973-09-15 "social" 473 195390 21320
1973-09-15 "solution" 321 195390 14990
1973-09-15 "south" 531 195390 26854
1973-09-15 "special" 192 195390 12822
1973-09-15 "stability" 91 195390 11323
1973-09-15 "support" 472 195390 30258
1973-09-15 "system" 253 195390 16129
1973-09-15 "terrorism" 125 195390 11726
1973-09-15 "time" 614 195390 25425
1973-09-15 "trade" 292 195390 12834
1973-09-15 "union" 312 195390 10537
1973-09-15 "united" 2485 195390 120949
1973-09-15 "view" 246 195390 11343
1973-09-15 "war" 651 195390 21426
1973-09-15 "weapons" 234 195390 16939
1973-09-15 "world" 2204 195390 89132
1974-09-15 "achieve" 195 207284 10213
1974-09-15 "action" 441 207284 16503
1974-09-15 "africa" 659 207284 29980
1974-09-15 "african" 360 207284 18219
1974-09-15 "agreement" 301 207284 12320
1974-09-15 "arab" 340 207284 11247
1974-09-15 "arms" 226 207284 11210
1974-09-15 "assembly" 1108 207284 39932
1974-09-15 "assistance" 278 207284 11561
1974-09-15 "based" 219 207284 10704
1974-09-15 "challenges" 43 207284 10170
1974-09-15 "change" 188 207284 11309
1974-09-15 "charter" 425 207284 16097
1974-09-15 "commitment" 55 207284 10328
1974-09-15 "common" 241 207284 10870
1974-09-15 "community" 716 207284 37936
1974-09-15 "conference" 643 207284 21701
1974-09-15 "conflict" 220 207284 16727
1974-09-15 "conflicts" 101 207284 11456
1974-09-15 "continue" 383 207284 19221
1974-09-15 "cooperation" 159 207284 17552
1974-09-15 "council" 335 207284 29218
1974-09-15 "countries" 2754 207284 85811
1974-09-15 "country" 937 207284 39541
1974-09-15 "crisis" 363 207284 12500
1974-09-15 "delegation" 621 207284 12971
1974-09-15 "democratic" 158 207284 14000
1974-09-15 "determination" 272 207284 10119
1974-09-15 "developed" 396 207284 12428
1974-09-15 "developing" 787 207284 26012
1974-09-15 "development" 950 207284 63063
1974-09-15 "disarmament" 277 207284 13285
1974-09-15 "east" 524 207284 18712
1974-09-15 "economic" 1671 207284 55155
1974-09-15 "effective" 233 207284 11485
1974-09-15 "efforts" 616 207284 35195
1974-09-15 "ensure" 189 207284 11643
1974-09-15 "financial" 105 207284 10368
1974-09-15 "force" 247 207284 10217
1974-09-15 "forces" 316 207284 10811
1974-09-15 "foreign" 406 207284 13288
1974-09-15 "free" 211 207284 10472
1974-09-15 "freedom" 325 207284 10391
1974-09-15 "future" 326 207284 15552
1974-09-15 "global" 148 207284 21899
1974-09-15 "government" 1147 207284 36814
1974-09-15 "hope" 494 207284 19418
1974-09-15 "human" 472 207284 36657
1974-09-15 "implementation" 167 207284 10777
1974-09-15 "including" 124 207284 10842
1974-09-15 "independence" 637 207284 14069
1974-09-15 "international" 2326 207284 117236
1974-09-15 "israel" 271 207284 10545
1974-09-15 "issues" 130 207284 11465
1974-09-15 "justice" 314 207284 10896
1974-09-15 "law" 269 207284 13993
1974-09-15 "major" 203 207284 10592
1974-09-15 "means" 292 207284 11658
1974-09-15 "measures" 244 207284 12398
1974-09-15 "middle" 464 207284 12987
1974-09-15 "military" 340 207284 12335
1974-09-15 "national" 697 207284 23575
1974-09-15 "nations" 2416 207284 124786
1974-09-15 "negotiations" 215 207284 13235
1974-09-15 "nuclear" 533 207284 22934
1974-09-15 "operation" 604 207284 15661
1974-09-15 "organization" 796 207284 35640
1974-09-15 "palestinian" 220 207284 10259
1974-09-15 "parties" 203 207284 11257
1974-09-15 "past" 278 207284 10918
1974-09-15 "peace" 1570 207284 77842
1974-09-15 "peaceful" 320 207284 15088
1974-09-15 "people" 1327 207284 54354
1974-09-15 "peoples" 855 207284 25181
1974-09-15 "policy" 482 207284 13567
1974-09-15 "political" 675 207284 33692
1974-09-15 "poverty" 79 207284 10387
1974-09-15 "powers" 469 207284 10041
1974-09-15 "president" 448 207284 18758
1974-09-15 "principles" 405 207284 16368
1974-09-15 "process" 259 207284 19495
1974-09-15 "progress" 400 207284 17577
1974-09-15 "question" 389 207284 11259
1974-09-15 "recent" 241 207284 11188
1974-09-15 "regard" 226 207284 11452
1974-09-15 "region" 285 207284 21386
1974-09-15 "regional" 81 207284 13213
1974-09-15 "relations" 604 207284 18910
1974-09-15 "republic" 552 207284 23316
1974-09-15 "resolution" 381 207284 14938
1974-09-15 "resolutions" 220 207284 10068
1974-09-15 "resources" 539 207284 15034
1974-09-15 "respect" 331 207284 17360
1974-09-15 "responsibility" 164 207284 10002
1974-09-15 "rights" 551 207284 33678
1974-09-15 "role" 218 207284 15396
1974-09-15 "secretary" 252 207284 18224
1974-09-15 "security" 781 207284 58620
1974-09-15 "session" 1065 207284 29355
1974-09-15 "settlement" 178 207284 10468
1974-09-15 "situation" 632 207284 22626
1974-09-15 "social" 399 207284 21320
1974-09-15 "solution" 433 207284 14990
1974-09-15 "south" 491 207284 26854
1974-09-15 "special" 587 207284 12822
1974-09-15 "stability" 79 207284 11323
1974-09-15 "support" 466 207284 30258
1974-09-15 "system" 329 207284 16129
1974-09-15 "terrorism" 24 207284 11726
1974-09-15 "time" 662 207284 25425
1974-09-15 "trade" 217 207284 12834
1974-09-15 "union" 239 207284 10537
1974-09-15 "united" 2149 207284 120949
1974-09-15 "view" 336 207284 11343
1974-09-15 "war" 484 207284 21426
1974-09-15 "weapons" 308 207284 16939
1974-09-15 "world" 2470 207284 89132
1975-09-15 "achieve" 216 195830 10213
1975-09-15 "action" 332 195830 16503
1975-09-15 "africa" 698 195830 29980
1975-09-15 "african" 357 195830 18219
1975-09-15 "agreement" 435 195830 12320
1975-09-15 "arab" 298 195830 11247
1975-09-15 "arms" 294 195830 11210
1975-09-15 "assembly" 1001 195830 39932
1975-09-15 "assistance" 163 195830 11561
1975-09-15 "based" 256 195830 10704
1975-09-15 "challenges" 42 195830 10170
1975-09-15 "change" 173 195830 11309
1975-09-15 "charter" 592 195830 16097
1975-09-15 "commitment" 73 195830 10328
1975-09-15 "common" 197 195830 10870
1975-09-15 "community" 600 195830 37936
1975-09-15 "conference" 784 195830 21701
1975-09-15 "conflict" 171 195830 16727
1975-09-15 "conflicts" 104 195830 11456
1975-09-15 "continue" 313 195830 19221
1975-09-15 "cooperation" 130 195830 17552
1975-09-15 "council" 324 195830 29218
1975-09-15 "countries" 2141 195830 85811
1975-09-15 "country" 748 195830 39541
1975-09-15 "crisis" 141 195830 12500
1975-09-15 "delegation" 564 195830 12971
1975-09-15 "democratic" 279 195830 14000
1975-09-15 "determination" 274 195830 10119
1975-09-15 "developed" 275 195830 12428
1975-09-15 "developing" 591 195830 26012
1975-09-15 "development" 860 195830 63063
1975-09-15 "disarmament" 460 195830 13285
1975-09-15 "east" 456 195830 18712
1975-09-15 "economic" 1425 195830 55155
1975-09-15 "effective" 236 195830 11485
1975-09-15 "efforts" 623 195830 35195
1975-09-15 "ensure" 167 195830 11643
1975-09-15 "financial" 73 195830 10368
1975-09-15 "force" 206 195830 10217
1975-09-15 "forces" 287 195830 10811
1975-09-15 "foreign" 460 195830 13288
1975-09-15 "free" 236 195830 10472
1975-09-15 "freedom" 244 195830 10391
1975-09-15 "future" 325 195830 15552
1975-09-15 "global" 136 195830 21899
1975-09-15 "government" 869 195830 36814
1975-09-15 "hope" 444 195830 19418
1975-09-15 "human" 440 195830 36657
1975-09-15 "implementation" 166 195830 10777
1975-09-15 "including" 149 195830 10842
1975-09-15 "independence" 616 195830 14069
1975-09-15 "international" 2290 195830 117236
1975-09-15 "israel" 344 195830 10545
1975-09-15 "issues" 175 195830 11465
1975-09-15 "justice" 294 195830 10896
1975-09-15 "law" 252 195830 13993
1975-09-15 "major" 212 195830 10592
1975-09-15 "means" 297 195830 11658
1975-09-15 "measures" 302 195830 12398
1975-09-15 "middle" 378 195830 12987
1975-09-15 "military" 330 195830 12335
1975-09-15 "national" 602 195830 23575
1975-09-15 "nations" 2755 195830 124786
1975-09-15 "negotiations" 302 195830 13235
1975-09-15 "nuclear" 716 195830 22934
1975-09-15 "operation" 805 195830 15661
1975-09-15 "organization" 1121 195830 35640
1975-09-15 "palestinian" 213 195830 10259
1975-09-15 "parties" 217 195830 11257
1975-09-15 "past" 245 195830 10918
1975-09-15 "peace" 1610 195830 77842
1975-09-15 "peaceful" 425 195830 15088
1975-09-15 "people" 1206 195830 54354
1975-09-15 "peoples" 954 195830 25181
1975-09-15 "policy" 401 195830 13567
1975-09-15 "political" 729 195830 33692
1975-09-15 "poverty" 69 195830 10387
1975-09-15 "powers" 430 195830 10041
1975-09-15 "president" 365 195830 18758
1975-09-15 "principles" 430 195830 16368
1975-09-15 "process" 341 195830 19495
1975-09-15 "progress" 395 195830 17577
1975-09-15 "question" 360 195830 11259
1975-09-15 "recent" 199 195830 11188
1975-09-15 "regard" 222 195830 11452
1975-09-15 "region" 237 195830 21386
1975-09-15 "regional" 95 195830 13213
1975-09-15 "relations" 566 195830 18910
1975-09-15 "republic" 647 195830 23316
1975-09-15 "resolution" 492 195830 14938
1975-09-15 "resolutions" 324 195830 10068
1975-09-15 "resources" 305 195830 15034
1975-09-15 "respect" 371 195830 17360
1975-09-15 "responsibility" 166 195830 10002
1975-09-15 "rights" 636 195830 33678
1975-09-15 "role" 248 195830 15396
1975-09-15 "secretary" 266 195830 18224
1975-09-15 "security" 961 195830 58620
1975-09-15 "session" 1100 195830 29355
1975-09-15 "settlement" 285 195830 10468
1975-09-15 "situation" 529 195830 22626
1975-09-15 "social" 433 195830 21320
1975-09-15 "solution" 375 195830 14990
1975-09-15 "south" 675 195830 26854
1975-09-15 "special" 597 195830 12822
1975-09-15 "stability" 87 195830 11323
1975-09-15 "support" 486 195830 30258
1975-09-15 "system" 356 195830 16129
1975-09-15 "terrorism" 20 195830 11726
1975-09-15 "time" 614 195830 25425
1975-09-15 "trade" 174 195830 12834
